Timestamp, Acceleration x, Acceleration y, Acceleration z
6250,0.00878906,-0.724121,0.527832,
6270,0.0571289,-0.719238,0.588379,
6290,0.0654297,-0.723145,0.578613,
6310,0.0541992,-0.708496,0.472168,
6330,0.0517578,-0.730957,0.443359,
6350,0.0961914,-0.724609,0.500977,
6370,0.12207,-0.710938,0.523438,
6390,0.144531,-0.683105,0.509766,
6410,0.127441,-0.680176,0.462402,
6430,0.133789,-0.672852,0.453613,
6450,0.159668,-0.664551,0.428223,
6470,0.178223,-0.692871,0.403809,
6490,0.180664,-0.709473,0.35791,
6510,0.199707,-0.682129,0.360352,
6530,0.240723,-0.671387,0.412598,
6550,0.250488,-0.700684,0.413086,
6570,0.282715,-0.748047,0.354004,
6590,0.27832,-0.758789,0.334473,
6610,0.306152,-0.729492,0.36084,
6630,0.285645,-0.793945,0.382813,
6650,0.283203,-0.798828,0.34082,
6670,0.276855,-0.763184,0.312988,
6690,0.28418,-0.766602,0.363281,
6710,0.26123,-0.800293,0.376465,
6730,0.244141,-0.829102,0.321289,
6750,0.213379,-0.827148,0.308594,
6770,0.197754,-0.829102,0.35498,
6790,0.179199,-0.812012,0.385742,
6810,0.148438,-0.851074,0.37207,
6830,0.131836,-0.878906,0.408203,
6850,0.111328,-0.907227,0.395996,
6870,0.0703125,-0.868652,0.375,
6890,0.0371094,-0.898926,0.417969,
6910,0.0405273,-0.952637,0.448242,
6930,0.0336914,-0.937988,0.435547,
6950,-0.00439453,-0.918945,0.414551,
6970,-0.0146484,-0.94043,0.412598,
6990,-0.0424805,-0.967773,0.424316,
7010,-0.0454102,-0.936523,0.471191,
7030,-0.0161133,-0.963379,0.509277,
7050,-0.0429688,-1.01611,0.470215,
7070,-0.078125,-1.0083,0.458008,
7090,-0.0874023,-0.96582,0.455566,
7110,-0.0678711,-0.966797,0.459961,
7130,-0.0883789,-0.992676,0.478027,
7150,-0.0913086,-0.970215,0.458984,
7170,-0.0874023,-0.972656,0.474121,
