Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
1790,0,0,-6,-4,-2,-2,-4,2,
1795,-2,-1,7,1,0,-2,1,0,
1800,0,-6,-33,-6,-4,-3,0,-2,
1805,-1,-1,5,6,1,0,-2,-3,
1810,3,2,-7,-3,-2,-2,-3,0,
1815,0,-4,-6,3,0,-1,-4,-1,
1820,-2,-1,-19,0,3,-1,1,-2,
1825,-2,0,8,-14,-8,-4,-1,1,
1830,-1,-4,-7,-9,-3,-2,-1,-2,
1835,1,0,-1,4,-1,-2,-1,-1,
1840,-2,-2,-13,22,5,2,-1,-2,
1845,-1,1,15,-4,-3,-1,2,0,
1850,-2,1,-13,-7,-2,0,-2,0,
1855,-2,0,1,2,0,-1,1,-2,
1860,2,-3,7,-13,-4,1,1,-3,
1865,0,-1,-19,-1,-2,-4,0,0,
1870,-1,-1,11,9,0,2,1,0,
1875,-4,0,-10,-3,0,-1,-1,-4,
1880,-1,1,4,2,0,-1,-3,2,
1885,-2,-2,-5,-5,-5,-2,-4,-3,
1890,0,3,30,5,1,-1,1,1,
1895,-1,-3,2,-3,1,1,-2,1,
1900,-2,-1,8,-2,-4,-2,0,-3,
1905,-2,-3,-26,-18,-4,-1,1,-2,
1910,-1,-2,-4,6,7,0,-2,2,
1915,-1,1,5,9,0,-1,-3,0,
1920,-2,2,-10,-10,-1,0,-2,1,
1925,-1,-3,-4,11,-2,0,-3,-1,
1930,-3,-1,-21,-9,-4,-4,1,-3,
1935,0,-2,-1,0,0,0,0,-4,
1940,-4,-2,-2,-10,-7,-3,-1,0,
1945,-2,-3,11,-2,0,-1,0,-1,
1950,3,-2,-14,10,0,-3,-3,0,
1955,0,-1,-1,-14,-9,-4,-2,-1,
1960,1,0,3,2,2,0,-2,0,
1965,-3,0,22,-1,-2,-2,-2,0,
1970,-2,-3,-4,-1,-1,-2,-2,-5,
1975,-2,-1,-3,2,2,0,-1,1,
1980,-1,1,-4,-5,-5,-4,-1,0,
1985,-1,0,-10,5,2,2,1,0,
1990,-3,1,12,-5,-2,-3,-3,-2,
1995,-1,-5,-9,-1,-4,-1,0,0,
2000,0,1,26,-3,-2,-2,-1,-1,
2005,1,-1,-19,2,1,0,-3,-1,
