Timestamp, Rotation x, Rotation y, Rotation z
5090,44.0625,-45.5625,-11.4375,
5110,43.125,-46.125,-4.875,
5130,40.3125,-46.3125,1.375,
5150,34.25,-47.3125,7.0625,
5170,33.375,-48.25,13.9375,
5190,27.9375,-49.9375,20.375,
5210,16,-51.875,24.5625,
5230,6.625,-52.5,26.875,
5250,7.4375,-54.3125,31.375,
5270,9.375,-53,36.8125,
5290,5.625,-49.5,42.4375,
5310,-1.9375,-43.3125,46.8125,
5330,1.625,-36.375,50.9375,
5350,9.25,-27.6875,55.3125,
5370,9.75,-21.6875,61.0625,
5390,6.0625,-15.0625,66.125,
5410,-2,-11.5,70.0625,
5430,-6.3125,-5.25,68.9375,
5450,-6.75,-2.375,70.6875,
5470,-7.1875,1.0625,71.4375,
5490,-19.1875,9.6875,66.6875,
5510,-14.375,13.4375,64.75,
5530,-19.9375,18,61.0625,
5550,-26,21.75,55.625,
5570,-24.5625,26.5625,53.25,
5590,-22.5625,31.25,49.5,
5610,-27,34.9375,45.3125,
5630,-28.125,38.0625,39.5,
5650,-22.0625,40.125,35.625,
5670,-20.375,41.1875,30.9375,
5690,-23,45.3125,22.3125,
5710,-23,48.1875,15.1875,
5730,-14.9375,49.125,9.8125,
5750,-14.1875,47.5,1.375,
5770,-18.875,44.6875,-8.1875,
5790,-7.8125,44.25,-14.6875,
5810,-3.5,44.0625,-23.625,
5830,-4.25,45.75,-29.3125,
5850,-0.875,45.375,-32.5,
5870,0.5,43.125,-38.3125,
5890,-4.75,39.375,-41.0625,
5910,-6.375,38.8125,-47.25,
5930,1.125,36.3125,-50.6875,
5950,1.4375,32.375,-53.5625,
5970,-3.9375,29.8125,-56.875,
5990,-0.6875,29.5625,-58,
6010,4.8125,25.375,-57.9375,
6030,9.125,23,-59.1875,
6050,9.125,18,-58.3125,
6070,13.125,11.8125,-54.25,
6090,16.8125,7.5625,-54.9375,
6110,17.1875,1.125,-53.5,
6130,19.75,-1.8125,-52.4375,
6150,26.6875,-6.5625,-47.9375,
6170,22.6875,-12.0625,-45.25,
6190,20.1875,-15.5625,-42.8125,
6210,25.25,-18,-39.9375,
6230,28.25,-24.375,-35.0625,
6250,26,-30.25,-30.5625,
6270,26.5625,-31,-28.0625,
6290,32.0625,-32.625,-25.375,
