Timestamp, Angle x, Angle y, Angle z, Marker
6680,2.19125,0.319265,-0.595848,0
6700,2.17826,0.318782,-0.584546,0
6720,2.14144,0.338131,-0.612995,0
6740,2.03755,0.360151,-0.646431,0
6760,1.88864,0.378164,-0.670045,0
6780,1.76927,0.404313,-0.692685,0
6800,1.69363,0.434872,-0.708851,0
6820,1.6569,0.466793,-0.721495,0
6840,1.64621,0.501722,-0.715881,0
6860,1.64398,0.515349,-0.728993,0
6880,1.65354,0.504627,-0.752796,0
6900,1.65724,0.473399,-0.785955,0
6920,1.58571,0.47895,-0.801354,0
6940,1.47839,0.525183,-0.850121,0
6960,1.31385,0.502468,-0.976388,0
6980,1.11946,0.353977,-1.08654,0
7000,0.983858,0.205836,-1.10642,0
7020,0.840489,0.050692,-1.13839,0
7040,0.636807,0.00677612,-1.11967,0
7060,0.47606,-0.0392839,-1.08183,0
7080,0.347127,-0.0747086,-1.04852,0
7100,0.227937,-0.134104,-1.03399,0
7120,0.0471528,-0.182564,-0.976875,0
7140,-0.115401,-0.187016,-0.90138,0
7160,-0.255149,-0.150091,-0.834103,0
7180,-0.33607,-0.0757471,-0.792802,0
7200,-0.312702,0.00629676,-0.770594,0
7220,-0.248047,0.0609774,-0.735819,0
7240,-0.150547,0.0632824,-0.690287,0
7260,-0.0304846,0.0524957,-0.647047,0
7280,0.112903,0.0625531,-0.601234,0
7300,0.255391,0.0840464,-0.557278,0
7320,0.377421,0.106487,-0.514144,0
7340,0.513517,0.0705774,-0.449691,0
7360,0.683348,0.0141981,-0.380723,0
7380,0.77149,-0.010029,-0.324554,0
7400,0.752317,-0.0357231,-0.260734,0
7420,0.700391,-0.0455847,-0.24005,0
7440,0.654665,-0.037635,-0.246427,0
7460,0.612617,-0.0222598,-0.261763,0
7480,0.550777,0.00933604,-0.271084,0
7500,0.513079,0.0467339,-0.2698,0
7520,0.526088,0.0804125,-0.254764,0
7540,0.549055,0.100375,-0.227747,0
7560,0.588504,0.0973399,-0.19802,0
7580,0.626842,0.0929218,-0.168771,0
7600,0.658245,0.0729181,-0.136868,0
7620,0.672821,0.0831325,-0.0671148,0
7640,0.670705,0.118322,0.0201739,0
7660,0.670543,0.149026,0.101901,0
7680,0.683807,0.1995,0.154382,0
7700,0.699741,0.235266,0.184397,0
7720,0.713422,0.278742,0.194991,0
7740,0.732462,0.352403,0.182998,0
7760,0.7287,0.369904,0.15465,0
7780,0.760099,0.387438,0.152261,0
7800,0.799811,0.389021,0.147161,0
7820,0.838248,0.415196,0.140879,0
7840,0.889837,0.451666,0.148801,0
7860,0.960971,0.509318,0.18268,0
7880,1.04829,0.578516,0.230315,0
7900,1.15372,0.663971,0.279836,0
7920,1.27137,0.751483,0.323089,0
7940,1.34452,0.829733,0.330672,0
7960,1.43607,0.832875,0.371394,0
7980,1.50239,0.823268,0.417755,0
8000,1.53506,0.816076,0.411928,0
8020,1.53026,0.803099,0.385297,0
8040,1.45761,0.797893,0.344231,0
8060,1.35831,0.774784,0.263983,0
8080,1.31222,0.761232,0.205486,0
8100,1.27121,0.745874,0.158574,0
8120,1.23959,0.742446,0.1142,0
8140,1.20785,0.733411,0.0777294,0
8160,1.20019,0.714309,0.0646964,0
8180,1.20258,0.702347,0.0683213,0
8200,1.21224,0.697173,0.0981483,0
8220,1.20844,0.69565,0.110287,0
8240,1.18451,0.684334,0.092393,0
8260,1.15756,0.66262,0.0675746,0
8280,1.13569,0.642933,0.0488419,0
8300,1.11778,0.629104,0.0343798,0
8320,1.1069,0.626426,0.0310255,0
8340,1.09968,0.640435,0.0309229,0
8360,1.1079,0.652381,0.0392221,0
8380,1.11181,0.648659,0.0429829,0
8400,1.10894,0.639391,0.0420908,0
8420,1.10034,0.626869,0.0300428,0
8440,1.08704,0.613904,0.0116504,0
8460,1.07753,0.608392,0.000964862,0
8480,1.07259,0.607165,-0.00780884,0
8500,1.07097,0.610327,-0.013891,0
8520,1.07413,0.613623,-0.0181272,0
8540,1.07791,0.612757,-0.0213802,0
8560,1.08003,0.611695,-0.0236118,0
8580,1.07989,0.603069,-0.0263926,0
8600,1.07298,0.585145,-0.0334061,0
8620,1.05836,0.556097,-0.0452424,0
8640,1.04189,0.533201,-0.0510076,0
8660,1.02313,0.520238,-0.0529163,0
8670,0.999898,0.511298,-0.0598293,0
8690,0.976382,0.50578,-0.0770933,0
8710,0.951829,0.489118,-0.0993946,0
8730,0.931881,0.469066,-0.120028,0
8750,0.916583,0.452838,-0.134589,0
8770,0.903506,0.429943,-0.141939,0
8790,0.885657,0.389203,-0.143353,0
8810,0.868844,0.365317,-0.136179,0
8830,0.843801,0.314886,-0.142491,0
8850,0.821946,0.267701,-0.147796,0
8870,0.789859,0.226008,-0.159159,0
8890,0.768068,0.205684,-0.165646,0
8910,0.762787,0.205466,-0.169313,0
8930,0.769196,0.216884,-0.176731,0
8950,0.781298,0.235482,-0.184286,0
8970,0.79881,0.24625,-0.192994,0
8990,0.818865,0.250702,-0.199596,0
9010,0.829927,0.248447,-0.200349,0
9030,0.830688,0.241726,-0.201267,0
9050,0.833747,0.237412,-0.203173,0
9070,0.835136,0.238234,-0.205696,0
9090,0.829958,0.241873,-0.210485,0
9110,0.825927,0.24178,-0.215592,0
9130,0.826944,0.239117,-0.217081,0
9150,0.829768,0.23698,-0.215204,0
9170,0.830945,0.242491,-0.21151,0
9190,0.829938,0.254081,-0.210154,0
9210,0.827434,0.261165,-0.212746,0
9230,0.820471,0.259517,-0.21581,0
9250,0.815136,0.250437,-0.215744,0
9270,0.813512,0.24158,-0.216599,0
9290,0.812552,0.241896,-0.218582,0
9310,0.812652,0.246863,-0.220697,0
9330,0.814914,0.252417,-0.222109,0
9350,0.815875,0.252619,-0.223722,0
9370,0.817422,0.249493,-0.225466,0
9390,0.817958,0.245881,-0.228298,0
9410,0.819387,0.246749,-0.228506,0
9430,0.821263,0.249686,-0.228062,0
9450,0.823149,0.252327,-0.229647,0
9470,0.825881,0.249718,-0.231783,0
9490,0.826705,0.245147,-0.231763,0
9510,0.825206,0.239974,-0.230677,0
9530,0.819925,0.237436,-0.23119,0
9550,0.813688,0.238266,-0.232078,0
9570,0.809356,0.24223,-0.232079,0
9590,0.809111,0.248665,-0.231583,0
9610,0.811551,0.254221,-0.23262,0
9630,0.815598,0.255101,-0.234259,0
9650,0.818372,0.253386,-0.234755,0
9670,0.819872,0.25008,-0.235483,0
9690,0.81873,0.248484,-0.237457,0
9710,0.817052,0.247565,-0.239061,0
9730,0.815975,0.246976,-0.239668,0
9750,0.814498,0.245091,-0.240818,0
9770,0.813496,0.243978,-0.240818,0
9790,0.811509,0.245364,-0.240792,0
9810,0.809198,0.250503,-0.241816,0
9830,0.810419,0.253084,-0.243238,0
9850,0.813554,0.253802,-0.243907,0
9870,0.819717,0.251412,-0.243633,0
9890,0.825918,0.245952,-0.244003,0
9910,0.828387,0.240365,-0.243781,0
9930,0.826285,0.237516,-0.243642,0
9950,0.820681,0.237464,-0.24389,0
9970,0.814344,0.241835,-0.242614,0
9990,0.809116,0.248404,-0.241346,0
10010,0.807649,0.253109,-0.241646,0
10030,0.809252,0.254351,-0.242923,0
10050,0.812995,0.252308,-0.243477,0
10070,0.815761,0.249203,-0.244467,0
10090,0.816377,0.245109,-0.247072,0
10110,0.815398,0.241575,-0.249164,0
10130,0.813718,0.239146,-0.250709,0
10150,0.814316,0.237554,-0.25203,0
10170,0.81481,0.239892,-0.251959,0
10190,0.814174,0.245627,-0.251242,0
10210,0.813563,0.250791,-0.252235,0
10230,0.81214,0.252005,-0.253733,0
10250,0.809453,0.248736,-0.255024,0
10270,0.808378,0.243599,-0.256264,0
10290,0.809144,0.239332,-0.25813,0
10310,0.811179,0.238238,-0.259684,0
10330,0.812563,0.240423,-0.260719,0
10350,0.813241,0.241368,-0.261353,0
10370,0.811999,0.241413,-0.261977,0
10390,0.810696,0.242477,-0.261891,0
10410,0.811871,0.244796,-0.261795,0
10430,0.814562,0.246632,-0.261786,0
10450,0.81709,0.24767,-0.261881,0
10470,0.818848,0.24577,-0.262004,0
10490,0.818895,0.243732,-0.261631,0
10510,0.816257,0.244696,-0.261265,0
10530,0.813573,0.245632,-0.261452,0
10550,0.810814,0.246925,-0.260986,0
10570,0.808911,0.246864,-0.260717,0
10590,0.808755,0.246894,-0.260845,0
10610,0.810458,0.246448,-0.260659,0
10630,0.811675,0.24707,-0.260046,0
10650,0.81169,0.24668,-0.260061,0
10670,0.81007,0.2452,-0.261316,0
10690,0.806398,0.24435,-0.262747,0
10710,0.803747,0.246589,-0.261332,0
10730,0.802177,0.25067,-0.26152,0
10750,0.802615,0.252036,-0.263228,0
10770,0.806073,0.251644,-0.263021,0
10790,0.810161,0.250232,-0.262358,0
10810,0.81234,0.248097,-0.262682,0
10830,0.811843,0.24568,-0.263197,0
10850,0.807952,0.245901,-0.262285,0
10870,0.803786,0.249896,-0.260919,0
10890,0.798415,0.255379,-0.261636,0
10910,0.794936,0.256558,-0.261833,0
10930,0.793802,0.253356,-0.261695,0
10950,0.795219,0.248658,-0.262282,0
10970,0.798228,0.245794,-0.263666,0
10990,0.801829,0.246413,-0.263561,0
11010,0.80378,0.249868,-0.262682,0
11030,0.804011,0.253669,-0.263012,0
11050,0.803496,0.254752,-0.263568,0
11070,0.801053,0.252779,-0.263447,0
11090,0.797252,0.249169,-0.263839,0
11110,0.793345,0.246171,-0.265056,0
11130,0.789457,0.244722,-0.266457,0
11150,0.7865,0.244405,-0.268542,0
11170,0.786988,0.245568,-0.269799,0
11190,0.790851,0.248978,-0.270465,0
11210,0.796671,0.251289,-0.271417,0
11230,0.803563,0.251548,-0.271795,0
11240,0.808857,0.248441,-0.271908,0
11260,0.810938,0.242859,-0.272036,0
11280,0.809255,0.238759,-0.271656,0
11300,0.805584,0.238214,-0.270772,0
11320,0.799876,0.240514,-0.270199,0
11340,0.793608,0.243607,-0.27013,0
11360,0.789795,0.245394,-0.270347,0
11380,0.78876,0.246123,-0.270946,0
11400,0.79088,0.24615,-0.271321,0
11420,0.795752,0.245855,-0.271933,0
11440,0.800999,0.244277,-0.272497,0
11460,0.804687,0.241763,-0.273429,0
11480,0.805987,0.239129,-0.273899,0
11500,0.80513,0.237526,-0.274894,0
11520,0.802076,0.235683,-0.275952,0
11540,0.798795,0.235561,-0.276467,0
11560,0.795152,0.236484,-0.277411,0
11580,0.792711,0.238628,-0.27816,0
11600,0.79305,0.240704,-0.278807,0
11620,0.795124,0.240491,-0.280805,0
11640,0.799407,0.236781,-0.283008,0
11660,0.803146,0.232588,-0.283406,0
11680,0.803935,0.22917,-0.285049,0
11700,0.802803,0.226726,-0.287604,0
11720,0.803015,0.226933,-0.288603,0
11740,0.805843,0.230251,-0.287892,0
11760,0.809358,0.233001,-0.288327,0
11780,0.812067,0.2311,-0.289516,0
11800,0.812356,0.226865,-0.289221,0
11820,0.810443,0.224268,-0.289039,0
11840,0.808904,0.224352,-0.289904,0
11860,0.807512,0.225804,-0.290464,0
11880,0.807709,0.228327,-0.289397,0
11900,0.810521,0.229349,-0.288983,0
11920,0.814933,0.227338,-0.289186,0
11940,0.820186,0.222418,-0.288515,0
11960,0.82512,0.217125,-0.287808,0
11980,0.827635,0.213818,-0.287461,0
12000,0.825449,0.212458,-0.287453,0
12020,0.819371,0.212483,-0.286492,0
12040,0.812348,0.215052,-0.28559,0
12060,0.808395,0.219001,-0.285889,0
12080,0.807515,0.222128,-0.28668,0
12100,0.811407,0.22296,-0.286281,0
12120,0.81888,0.221782,-0.28585,0
12140,0.827734,0.2204,-0.285584,0
12160,0.835376,0.219067,-0.285663,0
12180,0.841151,0.218117,-0.284736,0
