Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
1900,-2,-3,-6,-1,-1,3,-1,-1,0
1905,-11,-7,-4,-9,-9,0,4,1,0
1910,5,9,2,4,2,0,2,5,0
1915,0,-2,-2,-4,-1,0,-7,2,0
1920,-2,-4,-13,1,1,1,-2,-4,0
1925,-4,1,0,4,2,4,0,-4,0
1930,-1,0,5,-2,-1,1,-8,5,0
1935,-2,-6,-5,-6,-1,-2,-2,-5,0
1940,4,2,-4,-3,-1,-2,4,-6,0
1945,-4,-2,5,-2,2,-1,0,1,0
1950,1,-7,-2,-1,-2,-6,-4,3,0
1955,2,-3,-1,-1,4,0,-4,2,0
1960,-4,-2,-2,-6,-6,-3,3,1,0
1965,0,4,-4,-2,2,-3,0,-3,0
1970,-3,-4,1,-2,-5,-9,3,0,0
1975,0,0,-3,-1,2,-6,4,3,0
1980,-5,0,-2,1,3,3,0,-2,0
1985,-4,-7,1,-2,11,-3,-1,-9,0
1990,0,-1,-6,-2,-4,2,-4,-1,0
1995,4,1,-7,-5,2,2,-1,-4,0
2000,4,4,0,1,1,-2,-3,3,0
2005,-5,-4,-1,-7,-6,-4,-2,-12,0
2010,-3,-8,-5,-3,4,-1,-3,-4,0
2015,0,-1,-1,0,-2,4,2,3,0
2020,-1,0,-1,-3,-1,3,0,-2,0
2025,2,-2,2,-1,-6,-4,4,0,0
2030,1,2,5,0,-2,2,-5,-4,0
2035,-5,3,-2,-3,-7,-3,-4,1,0
2040,7,6,5,2,2,-7,-1,-3,0
2045,1,2,3,1,-5,-4,5,1,0
2050,-3,-6,-1,-4,3,6,6,0,0
2055,-3,0,3,-6,3,-2,-9,0,0
2060,-3,3,-2,-2,-6,-2,-8,-1,0
2065,-2,4,-1,-3,-1,-2,3,0,0
2070,-2,-5,-4,0,-4,0,-1,-4,0
2075,1,-6,-4,3,1,2,1,2,0
2080,-1,1,2,5,-3,1,1,-1,0
2085,-1,1,-5,6,3,2,2,3,0
2090,-4,-2,-5,-3,1,-3,-4,3,0
2095,2,2,-2,0,-1,-5,-1,2,0
2100,-2,-1,2,-3,-6,-1,-2,-2,0
2105,-5,-8,-3,-1,-1,3,0,-4,0
2110,-2,-2,-3,-5,-4,-5,-3,2,0
2115,-2,-6,-3,-8,0,1,1,-2,0
2120,4,0,-6,4,1,-2,0,5,0
2125,-5,-5,-3,1,1,-5,4,-2,0
2130,-5,2,0,0,1,0,-1,-3,0
2135,-3,5,1,1,1,-3,-1,-2,0
2140,-4,-3,-3,3,1,-1,1,-8,0
2145,-7,2,-5,-1,0,3,-3,2,0
2150,-2,7,0,4,-4,3,-3,-1,0
2155,6,8,-8,5,-11,-2,-2,-1,0
2160,0,0,-2,3,1,6,2,-2,0
2165,-2,1,1,5,-5,4,-1,-1,0
2170,-1,-1,0,-30,-8,-5,-6,0,0
2175,0,-14,11,-56,2,-16,-10,-2,0
2180,-1,4,5,-1,2,-14,-6,6,0
2185,2,-6,6,0,-1,7,6,-6,0
2190,3,-2,5,23,3,-2,7,2,0
2195,-6,-5,-1,20,-4,2,-6,6,0
2200,-4,-14,-13,-21,-1,-2,-2,-3,0
