Timestamp, Rotation x, Rotation y, Rotation z
6420,30.9375,85.125,67.0625,
6440,51.5625,84.8125,60.375,
6460,62.6875,83.9375,45.9375,
6480,48.5,81.0625,26.625,
6500,34.25,76.8125,7.6875,
6520,23.4375,69.3125,-14.75,
6540,5.0625,63.8125,-32.8125,
6560,-2.3125,58.5,-43.625,
6580,4.875,50.625,-52.8125,
6600,18.75,44.875,-59.625,
6620,18.1875,39.3125,-66.625,
6640,22,34.25,-71.6875,
6660,32,23.5,-76.1875,
6680,28.3125,14.375,-77.375,
6700,20.25,1.6875,-81.4375,
6720,11.8125,-7.875,-90.0625,
6740,6.8125,-16.6875,-94.625,
6760,-1.8125,-30.1875,-93.8125,
6780,5.8125,-45.0625,-88.8125,
6800,10.9375,-55.9375,-87.75,
6820,11.125,-65.0625,-85.125,
6840,8.1875,-71.6875,-75.1875,
6860,2.6875,-73.5625,-65.25,
6880,1.125,-73.5625,-53.125,
6900,4.8125,-73.4375,-40.9375,
6920,7.4375,-72.1875,-28.1875,
6940,8.5625,-70.6875,-15.375,
6960,4.5625,-68.9375,-3.625,
6980,-2.75,-65.6875,9.375,
7000,-8.75,-62.25,20.1875,
7020,-11.0625,-56.0625,28.875,
7040,-11.875,-51.4375,38.6875,
7060,-11.6875,-45.5,47.6875,
7080,-13.75,-39.5,53.5,
7100,-14.5,-36.125,59.3125,
7120,-16.4375,-30.9375,61.5625,
7140,-23.3125,-23.875,64.5625,
7160,-19.1875,-16.5625,70.25,
7180,-9.3125,-7.6875,74.1875,
7200,-8.375,2.75,74.875,
7220,-11.5,14.3125,73.6875,
7240,-5.6875,27,73.4375,
7260,11.875,34.9375,73.6875,
7280,21.375,41.6875,70.8125,
7300,12.875,49.125,63.375,
7320,-3.375,58.875,58.625,
7330,-2.5,64.375,55.3125,
7350,10.5,68.25,51.9375,
7370,9.375,75.25,41.1875,
7390,1.625,77.375,25.8125,
7410,13.4375,73.75,13,
7430,29.3125,68.875,0.75,
7450,32.8125,63.75,-12.375,
7470,25.125,60.875,-25.1875,
7490,24.875,51.25,-35.4375,
7510,24.375,40.5,-47.25,
7530,10.125,30.25,-60.875,
7550,4.75,20.125,-69,
7570,13.875,11.875,-75,
7590,25.875,-2.375,-74.8125,
7610,22.5,-15.6875,-77.6875,
7630,12.75,-26.5,-79.6875,
7650,4.5625,-38,-79.6875,
7670,2,-47.75,-75.4375,
7690,-0.5,-57.1875,-69.8125,
7710,-2.25,-64.6875,-63.5625,
7730,3.9375,-68.6875,-55.375,
7750,8.9375,-70.5,-42.875,
7770,9.1875,-70.5625,-29.375,
7790,8.0625,-68.4375,-18.6875,
7810,9,-64.875,-8.5625,
7830,9.125,-64.0625,2.125,
7850,9.3125,-62,10.9375,
7870,9.5,-61.4375,23.0625,
7890,0.5,-57.25,35.1875,
7910,-10.6875,-52.5625,44.3125,
7930,-16.3125,-44.625,50.0625,
7950,-11,-35.8125,56.375,
7970,-3.0625,-28.4375,62.25,
7990,-6,-19.9375,65.75,
8010,-12.375,-9.5625,66.75,
8030,-14.8125,1.125,70.625,
8050,-10.625,13.0625,73.8125,
8070,3.5625,20.75,76.375,
8090,13.6875,30.375,74.5625,
8110,7.625,45.5,67.75,
8130,-1.5625,53.3125,64.5625,
8150,-0.4375,56.1875,60.75,
8170,5.625,57.75,53.1875,
8190,6.5,63.375,43.6875,
8210,5.1875,65.625,32.4375,
8230,-4.4375,68.625,20.8125,
8250,-7,71.3125,8.875,
8270,3.3125,70.9375,2,
8290,11.1875,69.875,-9.6875,
8310,13.375,68.625,-22.0625,
8330,12.1875,65.25,-35.8125,
8350,9.1875,59.6875,-45.375,
8370,15.8125,54.3125,-53.1875,
8390,30.5625,46.625,-57,
8410,22.4375,32.6875,-61.3125,
8430,5.0625,18.625,-67.75,
8450,2.6875,5.875,-71.8125,
8470,4.3125,-6.1875,-71.3125,
8490,6.5625,-19.8125,-68.9375,
8510,6,-34.25,-64.8125,
8530,2.25,-44.4375,-62.4375,
8550,1.625,-52.9375,-57.6875,
8570,3.375,-59,-51.25,
8590,7.6875,-65.25,-44.375,
8610,12.375,-69.625,-38.125,
8630,19.1875,-72.0625,-31.8125,
8650,22.3125,-73.25,-22.375,
