Timestamp, Rotation x, Rotation y, Rotation z, Marker
5150,-2.8125,-2.8125,1.375,0
5170,-6.125,-4.25,0.5,0
5190,-0.125,-1.1875,-1.875,0
5210,5.625,-0.9375,-2.25,0
5230,7,-0.6875,-2.125,0
5250,5.0625,-1,-1.5625,0
5270,-0.125,-1.5625,-2.8125,0
5290,-3.4375,-0.75,-3.75,0
5310,-3,-0.375,-4.0625,0
5330,-0.75,0.0625,-2,0
5350,-0.4375,-0.4375,-0.875,0
5370,-2.9375,-0.25,1.5,0
5390,-2.3125,-0.8125,-0.5,0
5410,-0.25,0.125,-1.1875,0
5430,-0.0625,-0.375,-0.4375,0
5450,1.625,-0.25,0,0
5470,1.25,-0.5625,0,0
5490,3.375,0.125,-0.6875,0
5510,1.5625,-0.125,-1.4375,0
5530,-1.1875,-0.6875,-2.625,0
5550,-5.5625,-1.25,-2.25,0
5570,-7.25,-1.0625,-0.0625,0
5590,0.375,1.0625,0.375,0
5610,0.875,2.125,-0.8125,0
5630,2.8125,12.25,-1.3125,0
5650,5.5625,33.5,-9.8125,0
5670,11.4375,58.5,-28.5,0
5690,-35.75,10.8125,-97.125,0
5710,94.5,80.5625,-188.438,0
5730,230.625,184.125,-287.875,0
5750,359.875,316.562,-405.5,0
5770,434.812,407.5,-402.438,0
5790,605.375,434.125,-655.125,0
5810,462.188,589.188,-642.125,0
5830,771.438,221.562,-502.375,0
5850,181.812,208,-301.75,0
5870,-32.5625,54.0625,69.5,0
5890,-110.438,-33.6875,156.375,0
5910,-76.375,-89.125,70.0625,0
5930,-59.8125,-171.312,76.0625,0
5950,-57.4375,-112.5,74.625,0
5970,-7.5,-62.9375,56.3125,0
5990,205.938,-85.625,22.5,0
6010,311.812,29.5,-73.0625,0
6030,128.25,121.625,-161.625,0
6050,-47,81.4375,-147.312,0
6070,-142.812,88.6875,-84.375,0
6090,-134.188,82.8125,-25.3125,0
6110,-62.875,77.6875,-84.25,0
6120,25.125,61.1875,-97.4375,0
6140,24.25,43.1875,-75.4375,0
6160,-9.875,-18.875,-61.0625,0
6180,-80.625,-45.3125,-81.5,0
