Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
119597,-2,-6,-5,-3,-6,2,-2,2,
119603,1,6,1,2,5,3,4,-1,
119603,1,1,-2,-2,-6,-5,-2,1,
119612,-2,-3,-6,-4,-1,-6,0,-2,
119612,-3,-1,-6,2,2,1,1,0,
119625,0,-3,-5,-2,-7,-5,-6,2,
119625,0,2,2,1,3,-1,-5,0,
119634,-4,-6,-4,-5,-11,-4,-5,-3,
119634,-3,-3,-4,-1,-1,-1,6,-2,
119648,-4,-6,-1,-4,2,-4,-7,0,
119648,0,5,3,0,-2,-5,-1,-5,
119657,-4,4,-8,1,2,-1,-1,1,
119657,-2,-8,-1,-4,-6,-3,-3,-1,
119672,-1,2,-2,-5,-4,-4,-2,-3,
119672,1,2,5,-1,-1,-4,-6,-2,
119673,-1,-8,-6,-6,-2,-2,2,1,
119673,-3,-8,-2,-9,-8,-1,2,4,
119685,-6,-4,-4,-2,-2,2,-3,-3,
119685,-1,-3,-2,1,9,-6,-1,-6,
119694,-2,-3,-5,-1,0,2,3,-5,
119694,-2,-3,-3,3,5,6,1,3,
119708,2,-4,1,3,1,0,4,-3,
119708,-3,0,-1,-2,1,-2,-5,2,
119715,-2,-5,2,-1,-2,-1,-1,2,
119715,-2,-5,-3,-2,2,-3,7,-4,
119732,-6,-2,-2,3,1,-2,-1,0,
119732,6,-3,2,0,-5,0,-1,-2,
119733,-5,-3,-1,-7,-4,-4,-5,-2,
119733,4,5,-2,-2,-4,-5,-1,0,
119745,-5,0,-2,0,2,-2,-3,-7,
119745,-5,-2,-3,-3,-3,0,0,-1,
119754,-4,-3,-9,-10,-5,-3,-4,0,
119754,-5,3,0,5,7,-2,-1,-2,
119769,2,-2,-2,-10,-3,-1,-1,3,
119769,1,2,-2,-1,0,2,0,2,
119775,-5,-6,1,3,-1,3,0,1,
119775,2,1,-2,1,-1,2,-1,2,
119791,2,0,6,2,0,2,1,3,
119791,2,3,0,-2,-5,-8,-6,-4,
119793,-3,-3,-2,1,1,3,2,2,
119793,-8,-2,-4,-2,-1,0,-3,0,
119805,2,3,1,3,0,1,-1,0,
119805,3,3,4,0,-4,-5,-2,1,
119814,0,-1,-4,-4,-4,0,1,-1,
119814,-2,-8,-4,-3,-7,0,-4,1,
119828,-3,3,-2,1,-2,2,-2,4,
119828,3,5,1,3,-1,0,-5,-1,
119835,-2,-11,-4,-3,-1,-2,1,-1,
119835,-9,-2,-5,-7,-1,-1,-1,-5,
