Timestamp, Angle x, Angle y, Angle z
1930,-1.18846,0.166511,1.50885,
1950,-1.188,0.166091,1.50885,
1970,-1.18811,0.166206,1.50885,
1990,-1.18787,0.167046,1.50864,
2010,-1.18699,0.167437,1.50851,
2030,-1.18691,0.168214,1.50816,
2050,-1.19127,0.172251,1.50108,
2070,-1.1982,0.177136,1.49192,
2090,-1.20473,0.181584,1.47635,
2110,-1.21516,0.184857,1.45775,
2130,-1.22619,0.188076,1.44147,
2150,-1.23447,0.188534,1.42775,
2170,-1.238,0.185812,1.41697,
2190,-1.23004,0.183963,1.4103,
2210,-1.22109,0.182819,1.4038,
2230,-1.22022,0.185436,1.39955,
2250,-1.22053,0.188434,1.39693,
2270,-1.22046,0.187733,1.39611,
2290,-1.22506,0.183146,1.39615,
2310,-1.23294,0.173664,1.39404,
2330,-1.23304,0.167139,1.39232,
2350,-1.22905,0.154371,1.39339,
2370,-1.22564,0.138136,1.3949,
2390,-1.22261,0.12023,1.39497,
2410,-1.21233,0.101672,1.39701,
2430,-1.19762,0.0815094,1.40061,
2450,-1.1811,0.0602676,1.40558,
2470,-1.166,0.0390245,1.41256,
2490,-1.15133,0.0166861,1.41914,
2510,-1.1362,-0.0035779,1.42477,
2530,-1.12289,-0.0210646,1.4312,
2550,-1.10883,-0.0365106,1.43789,
2570,-1.09416,-0.0487112,1.44474,
2590,-1.08069,-0.0579382,1.45241,
2610,-1.07162,-0.0645339,1.46158,
2630,-1.06375,-0.0703646,1.47273,
2650,-1.05819,-0.0757719,1.48478,
2670,-1.05554,-0.0800723,1.49774,
2690,-1.0536,-0.0831545,1.51177,
2700,-1.05359,-0.0857945,1.52613,
2720,-1.05218,-0.088132,1.5401,
2740,-1.05018,-0.0888973,1.55386,
2760,-1.04834,-0.0881492,1.56719,
2780,-1.04779,-0.0871079,1.58048,
2800,-1.04667,-0.0855766,1.59336,
2820,-1.04357,-0.0835382,1.60639,
2840,-1.04126,-0.0796885,1.61895,
2860,-1.04137,-0.0747605,1.63086,
2880,-1.04126,-0.0698401,1.64276,
2900,-1.04019,-0.0648241,1.65369,
2920,-1.03948,-0.0580765,1.66433,
2940,-1.04137,-0.050058,1.67382,
2960,-1.04506,-0.0420005,1.68205,
2980,-1.04856,-0.0333336,1.6897,
3000,-1.05131,-0.0238506,1.69629,
3020,-1.05478,-0.0135804,1.70211,
3040,-1.05841,-0.00386793,1.70653,
3060,-1.06293,0.00542953,1.70991,
3080,-1.06659,0.0146066,1.71204,
3100,-1.07051,0.02304,1.71323,
3120,-1.07537,0.0303185,1.71248,
3140,-1.07947,0.0368131,1.71082,
3160,-1.08338,0.0430044,1.70793,
3180,-1.08757,0.0484361,1.70383,
3200,-1.09195,0.0525462,1.69841,
3220,-1.09718,0.0564818,1.69191,
3240,-1.10219,0.0598523,1.68445,
3260,-1.10828,0.0621846,1.67551,
3280,-1.11454,0.0638574,1.66537,
3300,-1.11937,0.0645814,1.65482,
