Timestamp, Angle x, Angle y, Angle z
6060,-0.556702,-0.128161,0.0743228,
6080,-0.541084,-0.142098,0.0895027,
6100,-0.531783,-0.15356,0.106354,
6120,-0.530042,-0.163289,0.123982,
6140,-0.529095,-0.171287,0.14248,
6160,-0.526867,-0.177258,0.162317,
6180,-0.526041,-0.179612,0.183218,
6200,-0.528107,-0.178259,0.205858,
6220,-0.531954,-0.173269,0.230011,
6240,-0.53872,-0.163978,0.255732,
6260,-0.548854,-0.150484,0.280643,
6280,-0.562203,-0.133418,0.303668,
6300,-0.575072,-0.114093,0.32574,
6320,-0.585539,-0.0919649,0.345827,
6340,-0.594298,-0.0666135,0.362342,
6360,-0.605691,-0.0370416,0.374537,
6380,-0.61611,-0.00415205,0.384505,
6400,-0.621387,0.0315921,0.389765,
6420,-0.617657,0.0687197,0.391127,
6440,-0.60468,0.104892,0.391013,
6460,-0.586331,0.139293,0.387372,
6480,-0.573178,0.169676,0.379255,
6500,-0.565376,0.195741,0.366465,
6520,-0.560858,0.215074,0.348769,
6540,-0.5641,0.22793,0.326693,
6560,-0.572477,0.236517,0.301706,
6580,-0.57847,0.241809,0.275526,
6600,-0.578459,0.243506,0.248787,
6620,-0.577342,0.241883,0.22131,
6640,-0.573881,0.238535,0.193602,
6660,-0.566254,0.231894,0.166758,
6680,-0.559629,0.223017,0.141057,
6700,-0.553354,0.211441,0.117034,
6720,-0.549666,0.19415,0.0921088,
6740,-0.546194,0.173466,0.0676395,
6760,-0.545793,0.149543,0.0455474,
6780,-0.542183,0.122381,0.0275117,
6800,-0.535892,0.0927332,0.0116574,
6820,-0.529036,0.0609107,-0.00207935,
6840,-0.522256,0.0284678,-0.0121571,
6860,-0.517739,-0.00316711,-0.0191143,
6880,-0.514188,-0.0329352,-0.0225225,
6900,-0.509874,-0.0606385,-0.0225612,
6920,-0.504924,-0.0858877,-0.0190952,
6940,-0.499806,-0.108244,-0.0122191,
6960,-0.496828,-0.128409,-0.00196102,
6980,-0.497603,-0.145425,0.0116295,
7000,-0.501505,-0.159703,0.0282179,
7020,-0.507324,-0.170189,0.0466206,
7040,-0.514841,-0.177682,0.0674174,
7060,-0.522875,-0.182279,0.0901264,
7080,-0.532522,-0.184573,0.113615,
7100,-0.542885,-0.18448,0.138515,
7120,-0.554675,-0.181716,0.163141,
7140,-0.570698,-0.176379,0.18768,
7160,-0.585684,-0.168878,0.212374,
7180,-0.596105,-0.15895,0.236305,
7200,-0.605628,-0.145473,0.258087,
7220,-0.616782,-0.128232,0.277103,
7240,-0.626658,-0.10763,0.293235,
7260,-0.629905,-0.0845251,0.307548,
7280,-0.627519,-0.0597573,0.319283,
7300,-0.627894,-0.03404,0.327369,
7320,-0.635279,-0.00674645,0.331904,
7330,-0.642805,0.0214113,0.333944,
7350,-0.643016,0.0497578,0.333988,
7370,-0.642355,0.0783651,0.329563,
7390,-0.646386,0.105343,0.32026,
7410,-0.646893,0.129292,0.307827,
7430,-0.641437,0.149673,0.293087,
7450,-0.633305,0.165622,0.276087,
7470,-0.628485,0.177269,0.256037,
7490,-0.623718,0.185344,0.235122,
7510,-0.617373,0.189065,0.213524,
7530,-0.615748,0.186734,0.190084,
7550,-0.615111,0.178872,0.166532,
7570,-0.611745,0.167424,0.142916,
7590,-0.602484,0.15358,0.122235,
7610,-0.59243,0.135777,0.103412,
7630,-0.584913,0.114982,0.0859506,
7650,-0.579579,0.0909963,0.0704315,
7670,-0.574345,0.0652451,0.057916,
7690,-0.569802,0.038246,0.0484726,
7710,-0.566452,0.0102024,0.0420431,
7730,-0.561147,-0.0180093,0.0384771,
7750,-0.554138,-0.0443588,0.0386401,
7770,-0.547231,-0.0687091,0.0426324,
7790,-0.541325,-0.0908181,0.0491807,
7810,-0.536147,-0.110063,0.0578959,
7830,-0.532022,-0.126566,0.0697676,
7850,-0.529887,-0.140915,0.0840615,
7870,-0.528767,-0.15394,0.101995,
7890,-0.531926,-0.164266,0.122914,
7910,-0.53966,-0.171616,0.145976,
7930,-0.550263,-0.175626,0.169421,
7950,-0.560299,-0.175702,0.193564,
7970,-0.567633,-0.172001,0.217876,
7990,-0.576259,-0.165681,0.241848,
8010,-0.587428,-0.156822,0.263947,
8030,-0.599948,-0.14472,0.285048,
8050,-0.610613,-0.128277,0.304365,
8070,-0.616602,-0.108243,0.32272,
8090,-0.617103,-0.0852179,0.338229,
8110,-0.619582,-0.059769,0.348624,
8130,-0.626195,-0.0330925,0.356348,
8150,-0.63192,-0.00553461,0.36207,
8170,-0.634803,0.0218671,0.365161,
8190,-0.637256,0.0482267,0.364132,
8210,-0.640618,0.0733263,0.359196,
8230,-0.647066,0.0968266,0.350184,
8250,-0.655743,0.118325,0.336971,
8270,-0.660829,0.137447,0.321762,
8290,-0.663076,0.153915,0.303345,
8310,-0.663228,0.167763,0.282019,
8330,-0.66322,0.178186,0.257791,
8350,-0.665079,0.184422,0.232005,
8370,-0.665222,0.186761,0.205162,
8390,-0.658119,0.187783,0.179256,
8410,-0.6512,0.18513,0.155574,
8430,-0.648975,0.177088,0.133158,
8450,-0.646858,0.164464,0.11258,
8470,-0.642792,0.149163,0.0945854,
8490,-0.637091,0.131422,0.0800559,
8510,-0.630232,0.111071,0.0694927,
8530,-0.624125,0.0885363,0.0615787,
8550,-0.618117,0.0647967,0.0563742,
8570,-0.611691,0.0408554,0.0539449,
8590,-0.604456,0.0165512,0.0543109,
8610,-0.5958,-0.00800842,0.0571207,
8630,-0.585449,-0.0325137,0.0618296,
8650,-0.575249,-0.0557041,0.0692096,
8670,-0.567012,-0.0767482,0.0795057,
8690,-0.561663,-0.0959726,0.0920682,
8710,-0.558554,-0.113475,0.106608,
8730,-0.558592,-0.127684,0.12308,
8750,-0.557264,-0.137982,0.142008,
8770,-0.55638,-0.145653,0.161745,
8790,-0.559006,-0.150638,0.181702,
8810,-0.564338,-0.153387,0.202866,
8830,-0.573789,-0.153166,0.224297,
8850,-0.584401,-0.149995,0.246441,
8870,-0.596512,-0.144265,0.268011,
8890,-0.611079,-0.136125,0.28873,
8910,-0.628387,-0.125438,0.307892,
8930,-0.643863,-0.111013,0.32528,
8950,-0.654773,-0.092745,0.341558,
8970,-0.659435,-0.0704179,0.356101,
8990,-0.660849,-0.0447681,0.366713,
9010,-0.66394,-0.0167417,0.372477,
9030,-0.670219,0.0121035,0.37525,
9050,-0.675836,0.0392873,0.374672,
9060,-0.677899,0.065232,0.37141,
9090,-0.674706,0.0903355,0.364773,
9110,-0.672275,0.11306,0.354453,
9130,-0.674733,0.132121,0.339765,
9150,-0.676227,0.148047,0.322173,
9170,-0.672443,0.16209,0.303243,
9190,-0.666309,0.173027,0.282522,
9210,-0.66336,0.179486,0.261039,
9220,-0.661958,0.182836,0.237302,
9240,-0.654032,0.184556,0.213588,
9260,-0.642918,0.182663,0.192044,
9280,-0.633982,0.175977,0.172385,
9300,-0.628001,0.166264,0.152903,
9320,-0.621641,0.153361,0.136681,
9340,-0.614478,0.137252,0.124211,
9360,-0.60884,0.118396,0.114397,
9380,-0.604644,0.0980348,0.106485,
9400,-0.599064,0.076473,0.101746,
9420,-0.592601,0.0534513,0.0996736,
9440,-0.586344,0.0296159,0.100146,
9460,-0.580622,0.00606199,0.103474,
9480,-0.57495,-0.0168656,0.109292,
9500,-0.569184,-0.0390927,0.117582,
9520,-0.564549,-0.0596008,0.128606,
9540,-0.560717,-0.0781777,0.141956,
9560,-0.559025,-0.0941192,0.157178,
9580,-0.559966,-0.106983,0.175141,
9600,-0.562224,-0.117217,0.195294,
9620,-0.566302,-0.124566,0.21649,
9640,-0.572824,-0.128275,0.239096,
9660,-0.58095,-0.129204,0.26227,
9680,-0.58959,-0.127598,0.285454,
9700,-0.600631,-0.122175,0.307892,
9720,-0.616094,-0.111329,0.327303,
9740,-0.63346,-0.0947799,0.342375,
9760,-0.653876,-0.0765656,0.356644,
9780,-0.668654,-0.0561114,0.369144,
9800,-0.674545,-0.0329264,0.378962,
9820,-0.677888,-0.00585762,0.387056,
9840,-0.681271,0.0224959,0.390341,
9860,-0.684189,0.0497793,0.389343,
9880,-0.68495,0.074937,0.385582,
9900,-0.68829,0.0997045,0.378575,
9920,-0.696697,0.123866,0.367935,
9940,-0.703514,0.146542,0.354055,
9960,-0.704958,0.167307,0.336783,
9980,-0.705756,0.185801,0.316502,
10000,-0.708251,0.201367,0.294358,
10020,-0.715079,0.212531,0.27058,
10040,-0.719822,0.218473,0.247153,
10060,-0.722454,0.218557,0.222904,
10080,-0.725695,0.212217,0.196905,
10100,-0.723061,0.202697,0.171509,
10120,-0.711763,0.19165,0.149471,
10140,-0.69777,0.175677,0.129806,
