Timestamp, Rotation x, Rotation y, Rotation z
6420,1.4375,-0.625,-0.625
6440,0.25,-2.0625,0.4375
6460,-0.1875,0.75,1.8125
6480,0.0625,2.4375,-2.1875
6500,3.4375,7.25,-2.875
6520,7,15.25,-0.8125
6540,10.9375,17.6875,-3.9375
6560,11.5,26.3125,-6.5
6580,20.25,45.4375,-6.6875
6600,55.8125,57.6875,-12.75
6620,88.3125,102,-15.5625
6640,112.625,146.25,-7.5625
6660,171.875,188.063,9.375
6680,244.938,265.938,41.875
6700,315.75,326.5,63.4375
6720,384.563,313.5,68.375
6740,391.438,235.188,64.375
6760,349.875,205.688,66.125
6780,284.813,179.938,30.3125
6800,205.375,137.688,7.125
6820,161.625,87.6875,-20.375
6840,124.125,28.5625,-28.375
6860,85,-7.9375,-7.75
6880,92.75,-32.875,8.375
6900,94,-20.4375,8.0625
6920,81.9375,-16.3125,10.125
6940,29.8125,-37.6875,6
6960,-2.125,-43.375,17.125
6980,-1.375,-32.125,15.6875
7000,-3.125,-23.375,4.625
7020,-8.375,-14.9375,1.5625
7040,-1.8125,-9.3125,0.5625
7060,8.4375,-4.3125,0.5
7080,13.5625,-3.1875,-2.375
7100,10.0625,-5.25,-0.6875
7120,14.8125,-4.125,-2.125
7140,9.9375,-4.25,1.25
7160,7.375,-4,2.8125
7180,1.75,1.875,1.1875
7200,-4.3125,5.8125,1.9375
7220,-0.5,5.625,0.625
7240,-1.625,0.4375,0.9375
7260,-3.6875,-5.4375,1.375
7280,-4.8125,-4.625,4.9375
7300,-5.4375,-2.125,5.375
7320,-3.25,-0.1875,6.5625
7340,-2.875,1.1875,6.5625
7360,-2.25,-0.8125,4.0625
7380,-0.875,-0.9375,2.8125
7400,-0.875,2.0625,-0.375
7420,1.9375,4.5625,0.5625
7440,1.1875,4.875,-1.125
7460,1.5625,5.6875,1.25
7480,-2.375,2.375,1.1875
7500,-4.9375,-0.8125,-1.0625
7520,-0.625,1.4375,1.9375
7540,-1.6875,-2.8125,3.125
7560,-1.375,-3.125,1.5625
7580,1.0625,-0.3125,0.4375
7600,3.5,2.6875,0.3125
7620,0.1875,4.875,-0.0625
7640,-0.4375,3.5625,-0.5
7660,0.75,1.0625,-0.125
7680,-0.4375,1.375,2.0625
7700,-0.1875,-1.125,3.0625
7720,-1.4375,-2.625,3.9375
7740,1.5625,-1.9375,2.3125
7760,0.25,-0.6875,1.3125
7780,-1.9375,1.6875,-3.125
7800,0.625,4.9375,-4.875
7820,1.375,5.625,-3.5625
7840,0.9375,2.9375,-2.875
7860,4.3125,3.75,-3.3125
7880,4.3125,5.4375,-6.8125
7900,5.4375,7.375,-6.125
7920,6.25,5.125,-3.375
7940,3.25,2.625,-1.4375
7960,3.75,0.25,1.75
7980,2,-0.6875,0.0625
8000,3.0625,0.5,-1.375
8020,0.8125,2.5,-1.8125
8040,2.9375,3.5625,-3.125
8060,6.125,3.8125,-3
8080,5.3125,3.125,-0.1875
8100,4.75,-0.6875,1.625
8120,3.1875,-2.1875,2.375
8140,3.5625,0.875,0.125
8160,1.5,3.1875,-1.3125
8180,-3.3125,3.6875,-2.875
8200,-3.4375,2.25,-2.0625
8220,-6.875,2.125,-0.6875
8240,-4.75,2.5,-2.1875
8260,-2.8125,3.25,0
8280,-6.4375,1.375,-0.5625
8300,-2.375,0.5625,-1.125
8320,-3.1875,0.875,1
8340,-0.4375,1.625,-1.0625
8360,4,-0.0625,-1.6875
8380,2.0625,-0.625,-0.5
8400,5.4375,-0.3125,-0.6875
8420,0.3125,1.6875,0.25
8440,-1.375,2.875,-1.5
8460,-1.75,2.0625,-0.875
8480,-4,1.4375,-0.875
8500,-3.75,1.4375,-1.5
8520,-4.6875,2.1875,0.5
8540,-2.875,-1.3125,1.75
8560,0.5,-2.4375,3.125
8580,1.9375,-2.3125,3.625
8600,3.75,-0.5,0.9375
8620,4.375,0.5625,-1.0625
8640,1.375,1.3125,-1.5625
8660,1.8125,1.625,-2
8680,1.875,2.25,-1.8125
8700,-0.9375,1.1875,-1.5
8720,-3.5625,-0.3125,0.5625
8740,-2.625,0.5,0.25
8760,-2.4375,1.1875,0.125
8780,-4.5,0.75,-1.0625
8800,-1.3125,2.0625,-0.8125
8820,-0.5625,0.75,0.6875
8840,1.9375,-0.75,0.75
8860,2.875,-0.25,0.9375
8880,-0.75,-0.125,2.1875
8900,1,-1.25,0.5
8920,-0.375,1,0
8930,-1.625,0.0625,-0.5625
8950,1.375,0.3125,-1.25
8970,-2,2.375,-2.4375
8990,0.1875,2.375,-1.3125
9010,-2,-0.4375,0.0625
9030,-1.625,-0.1875,1.125
9050,-0.625,0.6875,1.8125
9070,-2.5625,-0.8125,0.25
9090,0.5,-0.1875,0.125
9110,1,0,-1.1875
9130,0.25,0.1875,-1.625
9150,-0.125,2.0625,-1.1875
9170,2.1875,-0.375,-0.5625
9190,-0.3125,0.125,-0.5625
9210,1.4375,1.4375,-0.3125
9230,0.25,-0.125,0.3125
9250,-0.125,-0.3125,0.6875
9270,-1,0,-0.75
9290,-0.375,1.5625,-1.9375
9310,-0.5625,1.625,-1.8125
9330,-2.375,0.6875,0.0625
9350,-1,-0.3125,0.5
9370,0.6875,0.4375,0.125
9390,1.1875,0.3125,0.875
9410,0,-1.5,1.9375
9430,0,-1.1875,0.6875
9450,-1.0625,0.875,-0.625
9470,-3.0625,2.3125,-3.3125
9490,-0.9375,3,-3.5625
9510,-3.6875,1.75,-3.125
9530,-2.4375,1.25,-1.3125
9550,-1.625,1.875,-1.375
9570,-2.9375,-0.125,-0.625
9590,-3.0625,1.1875,-1.5
9610,0.25,1.5625,-2.5
9630,0.9375,1.875,-2.3125
9650,0.625,1.25,-1.5
9670,-0.6875,0,0.1875
9690,-2.5,-0.125,0.9375
9710,-4.625,0.75,0.25
9730,-4.5625,2.0625,0.25
9750,-5.6875,1.875,0.25
