Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
1780,-4,-2,-1,0,5,0,1,-27,0
1785,-2,-4,-2,11,10,8,4,11,0
1790,-7,-2,2,-29,-39,-23,-21,-100,0
1795,0,-1,-5,21,20,15,9,39,0
1800,-4,1,-1,9,8,12,6,34,0
1805,0,-3,-6,-4,-9,-4,-1,-33,0
1810,-4,-1,-4,-2,-4,-2,1,8,0
1815,-2,6,-1,-18,-24,-8,-5,-20,0
1820,3,2,-2,-15,-17,-15,-12,-30,0
1825,-4,-6,0,13,20,15,9,13,0
1830,1,-5,-3,-17,-18,-18,-16,-101,0
1835,3,-2,1,9,13,4,4,-34,0
1840,-1,-2,-5,-20,-22,-14,-8,-22,0
1845,-3,2,-2,-2,8,1,4,-39,0
1850,4,0,-3,0,-11,3,0,61,0
1855,2,-3,2,6,5,0,-2,100,0
1860,-6,3,-3,-23,-28,-15,-11,4,0
1865,-2,-1,2,13,10,10,10,54,0
1870,-5,0,3,-7,-13,-2,1,-13,0
1875,-5,-9,-7,2,7,7,1,-40,0
1880,-3,-8,1,5,8,5,6,-29,0
1885,2,-1,2,1,-4,0,-1,-13,0
1890,-4,-2,-3,-10,-7,-6,-7,-20,0
1895,-4,-1,2,-3,-2,-2,0,-39,0
1900,-7,1,-1,-3,0,-3,-2,-38,0
1905,-2,-2,-1,5,9,5,2,28,0
1910,-4,1,-3,-13,-13,-8,-10,4,0
1915,-6,-5,-5,7,2,3,0,0,0
1920,-3,-1,-2,9,10,1,4,-5,0
1925,4,-4,0,10,15,13,-2,40,0
1930,0,-5,-1,-6,-5,-1,-1,21,0
1935,-1,-3,1,-2,2,3,-1,-23,0
1940,-1,-3,3,1,6,0,-2,-9,0
1945,4,2,-2,1,-1,-2,-1,27,0
1950,2,3,2,-6,-2,-7,-4,5,0
1955,-2,-1,1,8,5,3,3,-6,0
1960,2,-6,-3,2,3,1,1,-12,0
1965,-1,0,4,2,2,0,0,14,0
1970,3,3,-2,-4,-1,2,-1,2,0
1975,-2,-4,-5,-1,2,-4,-5,-4,0
1980,2,-4,-3,2,2,3,-2,-6,0
1985,0,-3,-4,-6,-10,0,-2,2,0
1990,-1,3,2,-2,-6,-3,-4,4,0
1995,1,0,1,-5,-7,0,-6,-13,0
2000,-3,-1,0,-2,-9,-4,1,-11,0
2005,-5,-4,0,0,-3,1,5,1,0
2010,2,5,1,-2,-6,-1,-2,4,0
2015,-2,-4,-3,3,6,4,3,-5,0
2020,-2,-8,2,-5,-10,-3,-4,-6,0
2025,-2,3,-1,0,4,-1,1,16,0
2030,0,-2,2,-3,2,-2,2,10,0
2035,0,2,0,-4,-3,-1,-5,-4,0
2040,-4,2,-2,1,3,0,-6,-5,0
2045,1,-2,-2,-4,-1,-4,6,9,0
2050,-3,-3,-6,-4,3,0,-6,5,0
2055,0,-5,0,-2,-2,-1,-3,0,0
2060,-5,-6,-10,-2,1,2,-3,-7,0
2065,-3,2,-3,-1,-5,-5,-3,3,0
2070,0,-6,-3,-4,-2,-4,-4,2,0
2075,-6,-4,-4,-2,0,-1,-3,-10,0
2080,-3,-1,3,0,-1,3,-1,-6,0
2085,4,1,-1,0,-1,-1,-1,3,0
2090,-3,-4,-4,-2,-3,3,2,3,0
2095,-1,-1,0,-6,-5,-6,2,-7,0
2100,-3,-5,-3,-5,-5,-6,-5,-4,0
2105,0,3,5,0,-6,-2,-1,6,0
2110,2,5,1,-2,-4,-8,-3,2,0
2115,0,-2,0,-5,-9,-2,-2,-5,0
2120,2,1,3,-2,-3,-3,-7,-5,0
2125,-1,-3,0,4,3,2,4,2,0
2130,2,-3,-2,-3,3,2,-4,-1,0
2135,0,3,-2,-1,5,1,-7,-2,0
2140,-2,2,-1,3,6,-2,-1,3,0
2145,0,1,0,-3,-2,0,-7,0,0
2150,2,-2,1,-3,-1,0,0,4,0
2155,-3,-1,-3,8,5,1,0,-3,0
2160,2,-1,0,-1,-2,-4,3,-2,0
2165,-2,6,1,0,8,4,2,5,0
2170,-4,-2,-5,-3,0,0,-3,-2,0
2175,4,-4,-3,3,5,-7,-4,-5,0
2180,-2,-7,2,1,-1,5,2,-8,0
2185,-2,-3,-3,-2,-5,-3,-2,-5,0
2190,-1,2,1,1,4,-5,-2,2,0
2195,-4,3,1,-4,-9,-2,-9,-6,0
2200,-2,-1,-7,-6,3,0,0,-4,0
2205,0,-7,-2,2,2,-10,5,-1,0
2210,-2,0,-5,-4,0,0,1,0,0
2215,-4,-8,2,-2,-7,-4,-3,-6,0
2220,0,4,-4,-4,3,-8,-9,-2,0
2225,-4,-8,2,-5,-10,3,-1,3,0
2230,-3,0,1,-10,-11,-4,-1,-5,0
2235,-4,-6,-2,-4,-3,-9,7,-4,0
2240,-1,8,-3,-7,-6,3,-1,-4,0
2245,-1,0,-1,2,3,-2,-3,6,0
2250,-1,-5,-2,1,-7,-3,-4,6,0
2255,2,6,-2,-7,-2,7,-2,-10,0
2260,-8,0,0,5,0,-3,6,2,0
