Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
3520,0.360352,0.800293,0.164062,0
3540,0.273438,0.741211,0.0727539,0
3560,0.131836,1.11572,-0.0307617,0
3580,0.127441,1.18408,-0.100586,0
3600,0.174805,1.00342,-0.169922,0
3620,0.281738,0.91748,-0.125977,0
3640,0.253906,0.933105,-0.101074,0
3660,0.274414,0.931641,-0.0415039,0
3680,0.334473,0.90625,-0.0366211,0
3700,0.288574,0.943848,-0.0390625,0
3720,0.245605,0.994141,-0.100586,0
3740,0.214355,0.938965,-0.0869141,0
3760,0.180664,1.02344,-0.081543,0
3780,0.26123,0.938965,-0.119629,0
3800,0.287598,0.991211,-0.0585938,0
3820,0.223145,0.978516,-0.145508,0
3840,0.208008,0.953125,-0.145996,0
3860,0.280273,0.91748,-0.15625,0
3880,0.305176,0.903809,-0.140137,0
3900,0.340332,0.895508,-0.240234,0
3920,0.245605,0.957031,-0.190918,0
3930,0.442871,0.838379,-0.36377,0
3950,0.332031,0.845703,-0.460449,0
3970,0.356934,0.807617,-0.487305,0
3990,0.289551,0.776367,-0.531738,0
4010,0.30127,0.723145,-0.52002,0
4030,0.351074,0.696289,-0.522949,0
4050,0.354492,0.648438,-0.594238,0
4070,0.375977,0.620605,-0.557129,0
4090,0.411621,0.593262,-0.578613,0
4110,0.523926,0.525879,-0.828125,0
4130,0.624023,0.471191,-0.953125,0
4150,0.588867,0.487305,-1.07617,0
4170,0.602539,0.447754,-0.993652,0
4190,0.708984,0.361328,-0.959473,0
4210,0.783691,0.21875,-0.927246,0
4230,0.89502,0.155273,-0.964355,0
4250,0.767578,0.261719,-0.812012,0
4270,0.712402,0.181641,-0.730957,0
4290,0.941406,-0.0952148,-0.63623,0
4310,0.725098,-0.129883,-0.499023,0
4330,0.932129,-0.0927734,-0.558594,0
4350,1.02344,-0.183594,-0.598145,0
4370,0.969727,-0.121094,-0.446777,0
4390,0.986328,-0.174805,-0.399902,0
4410,0.296875,-0.79541,0.549316,0
4430,1.32129,-0.157227,0.138672,0
4450,0.405273,1.12891,-3.04346,0
4470,1.52246,0.23877,-0.803711,0
4490,0.699219,0.692871,0.0703125,0
4510,0.236816,0.665039,-0.527832,0
4530,0.0556641,0.270508,-0.651855,0
4550,-0.328125,-0.0375977,0.34375,0
4570,-0.136719,0.557617,0.91748,0
4590,-0.0239258,0.375488,0.840332,0
4610,0.178711,0.361328,0.83252,0
4630,0.097168,0.245605,0.935059,0
4650,-0.236328,0.237793,1.01807,0
4670,0.141602,0.0581055,1.01709,0
4690,-0.0405273,-0.0185547,1.19727,0
4710,0.0493164,-0.148926,1.43506,0
4730,0.225098,-0.368652,1.38623,0
4750,0.269531,-0.417969,1.34326,0
4770,0.390625,-0.344238,1.83398,0
4790,-0.44043,-0.0571289,1.24561,0
4810,-0.638184,-0.0566406,0.952637,0
4830,-0.649414,-0.0126953,0.793945,0
4850,-0.404785,-0.505371,0.754883,0
4870,-0.541504,-0.0307617,0.629883,0
4890,-0.794922,-0.0195312,0.495605,0
4910,-0.522949,0.0239258,0.316895,0
4930,-0.288086,0.11377,0.474121,0
4950,-0.277832,0.220215,0.682129,0
4970,-0.163574,0.231934,0.971191,0
4990,-0.192383,-0.0356445,1.06494,0
5010,-0.28125,0.101074,0.943848,0
5030,-0.134277,0.314453,1.12744,0
5050,-0.0800781,0.404297,1.16553,0
5070,-0.164062,0.390137,0.841797,0
5090,-0.0126953,0.527344,0.812988,0
5110,-0.03125,0.648926,0.790039,0
5130,0.0795898,0.567383,0.692383,0
5150,0.125488,0.615723,0.636719,0
5170,0.391113,0.70752,0.499512,0
5190,0.324219,0.539551,0.372559,0
5210,0.410156,0.355469,0.0864258,0
5230,0.570801,0.519531,0.165039,0
5250,0.603516,0.192383,0.0820312,0
5270,0.63916,0.146484,-0.00146484,0
