Timestamp, Angle x, Angle y, Angle z
4840,1.10156,0.415377,-3.06426,
4860,1.11153,0.412123,-3.08023,
4880,1.12164,0.416827,-3.09844,
4900,1.13894,0.41309,-3.10815,
4920,1.15208,0.396375,-3.10845,
4940,1.16442,0.381116,-3.1271,
4960,1.17754,0.380038,3.10729,
4980,1.20143,0.380123,3.05143,
5000,1.24465,0.398237,2.9875,
5020,1.29026,0.421142,2.93856,
5040,1.31393,0.440327,2.89119,
5060,1.33873,0.461418,2.84269,
5080,1.36589,0.492487,2.80063,
5100,1.3816,0.52098,2.76273,
5120,1.40052,0.551269,2.74392,
5140,1.40838,0.576571,2.73779,
5160,1.41843,0.584651,2.74625,
5180,1.43534,0.580208,2.76742,
5200,1.44063,0.566144,2.7871,
5220,1.45813,0.551618,2.79574,
5240,1.47476,0.547338,2.79244,
5260,1.48944,0.549051,2.78868,
5280,1.50089,0.549637,2.78694,
5300,1.50742,0.545129,2.78444,
5320,1.51528,0.539562,2.78421,
5340,1.51813,0.53054,2.79014,
5360,1.50926,0.514896,2.8053,
5380,1.48313,0.494051,2.81849,
5400,1.4495,0.483131,2.83156,
5420,1.42363,0.477025,2.8453,
5440,1.40857,0.479741,2.8628,
5460,1.38974,0.490234,2.88616,
5480,1.36079,0.501661,2.9101,
5500,1.3422,0.508898,2.93207,
5520,1.33143,0.499428,2.95616,
5540,1.31383,0.474808,2.98472,
5560,1.29901,0.444607,3.01667,
5580,1.29521,0.413242,3.04325,
5600,1.29426,0.37662,3.06117,
5620,1.29483,0.343548,3.0753,
5640,1.29559,0.309497,3.09038,
5660,1.29489,0.280286,3.10517,
5680,1.2859,0.257162,3.11321,
5700,1.27735,0.234996,3.11418,
5720,1.27449,0.218816,3.10925,
5740,1.2823,0.20622,3.10952,
5760,1.29286,0.202773,3.11498,
5780,1.31097,0.20676,3.11738,
5800,1.329,0.211217,3.11899,
5820,1.34062,0.215028,3.11499,
5840,1.35069,0.219255,3.1088,
5860,1.36265,0.22325,3.09862,
5880,1.37428,0.227534,3.08555,
5900,1.38047,0.233391,3.07207,
5920,1.3828,0.242213,3.05969,
5940,1.38289,0.253322,3.04784,
5960,1.37828,0.266954,3.03953,
5980,1.37559,0.280281,3.03477,
6000,1.37602,0.292168,3.03297,
6020,1.37624,0.30436,3.03154,
6040,1.37526,0.31577,3.02964,
6060,1.37417,0.325008,3.02803,
6080,1.37617,0.333148,3.02864,
6100,1.3791,0.338149,3.02792,
6120,1.38549,0.342326,3.0294,
6140,1.38963,0.346337,3.03229,
6160,1.39036,0.348509,3.03256,
6180,1.3913,0.350892,3.03548,
6200,1.39251,0.353765,3.04,
6220,1.39082,0.356977,3.04537,
6240,1.38849,0.362418,3.05118,
6260,1.382,0.370692,3.0582,
6280,1.36945,0.38274,3.06897,
6300,1.35357,0.395968,3.08209,
6320,1.33305,0.408833,3.09493,
6340,1.30703,0.424978,3.10647,
6360,1.27986,0.441158,3.10846,
6380,1.25205,0.449728,3.09911,
6400,1.22321,0.45284,3.071,
6420,1.18743,0.458886,3.02006,
6440,1.18055,0.485789,2.97762,
6460,1.20125,0.518184,2.94674,
6480,1.22713,0.546915,2.91972,
6500,1.25257,0.575129,2.90208,
6520,1.27594,0.61293,2.89777,
6540,1.28904,0.644582,2.9059,
6560,1.29404,0.675513,2.91958,
6580,1.29252,0.706921,2.94015,
6600,1.28935,0.734145,2.96431,
6620,1.29065,0.760925,2.99359,
6640,1.29034,0.782832,3.02711,
6660,1.296,0.801284,3.06575,
6680,1.2981,0.826999,3.09781,
6700,1.30005,0.85742,3.13517,
6720,1.30974,0.881327,-3.09601,
6740,1.32638,0.898641,-3.03045,
6760,1.35321,0.909067,-2.94456,
6780,1.39049,0.91371,-2.84397,
6800,1.4291,0.917876,-2.74841,
6820,1.47182,0.928508,-2.66407,
6840,1.51415,0.943353,-2.57529,
6860,1.5633,0.964921,-2.46204,
6880,1.61064,0.988331,-2.3193,
6900,1.66754,1.01024,-2.14855,
6920,1.73945,1.02781,-1.95458,
6940,1.8222,1.03417,-1.75412,
6960,1.91061,1.02578,-1.54878,
6980,1.98107,0.994821,-1.36448,
7000,2.02169,0.953271,-1.20687,
7020,2.03741,0.905704,-1.07109,
7040,2.02552,0.862352,-0.954102,
7060,2.01576,0.823335,-0.824013,
7080,1.99732,0.765719,-0.726922,
7100,1.99145,0.708346,-0.638736,
7120,1.99753,0.666376,-0.562306,
7140,1.99577,0.644487,-0.49273,
7160,1.9928,0.628983,-0.421154,
7180,1.98196,0.610766,-0.37334,
7200,1.97365,0.596648,-0.330028,
7220,1.95887,0.578043,-0.298933,
7240,1.97932,0.564855,-0.25981,
7260,1.99936,0.551213,-0.226477,
7280,2.01412,0.541148,-0.190246,
7300,2.01583,0.525788,-0.153136,
7320,2.01112,0.505058,-0.117843,
7340,2.01077,0.481417,-0.0845502,
7360,2.01465,0.456976,-0.0541865,
7380,2.0184,0.431758,-0.0270006,
7400,2.02143,0.406382,-0.0016922,
7420,2.02456,0.388134,0.0268089,
7440,2.02276,0.374408,0.058566,
7460,2.01509,0.35822,0.0899836,
7480,2.0053,0.336922,0.120472,
7500,1.9884,0.315883,0.1516,
7520,1.96548,0.296814,0.184482,
7540,1.94,0.278624,0.216423,
7560,1.9182,0.263464,0.24344,
7580,1.90821,0.251169,0.255869,
7600,1.93017,0.254066,0.264774,
7620,1.95287,0.25136,0.27212,
7640,1.9639,0.245499,0.277718,
7660,1.97579,0.244102,0.279295,
7680,1.98573,0.24036,0.276911,
7700,1.99152,0.233355,0.274831,
7720,2.00014,0.228224,0.274004,
7740,2.00535,0.224017,0.269649,
7760,2.00157,0.222096,0.265269,
7780,1.99383,0.218084,0.259875,
7800,1.98459,0.212763,0.252786,
7820,1.98,0.206936,0.243322,
7840,1.97598,0.196488,0.231106,
7860,1.97239,0.183129,0.220259,
7880,1.96653,0.171372,0.210473,
7900,1.96026,0.165718,0.204299,
7920,1.95524,0.162784,0.199469,
7940,1.95177,0.158757,0.192562,
7960,1.94876,0.154861,0.182299,
7980,1.94595,0.150255,0.169995,
8000,1.94352,0.149199,0.164095,
8020,1.93797,0.157278,0.163114,
8040,1.93731,0.168553,0.165569,
8060,1.93963,0.177267,0.165984,
8080,1.94214,0.181004,0.163084,
8100,1.94103,0.180265,0.158144,
8120,1.9367,0.18025,0.153801,
8140,1.93213,0.186706,0.154457,
8160,1.92801,0.197428,0.157267,
8180,1.92369,0.206048,0.159259,
8200,1.91511,0.210506,0.159063,
8220,1.90269,0.21436,0.160734,
8240,1.89029,0.223043,0.166266,
8260,1.88138,0.233878,0.176556,
8280,1.86838,0.238532,0.187935,
8300,1.85271,0.244543,0.200427,
8320,1.84162,0.260099,0.210923,
8340,1.82971,0.283665,0.220638,
8360,1.8247,0.31206,0.232167,
8380,1.81888,0.338342,0.2399,
8400,1.80272,0.350199,0.239696,
8420,1.78844,0.351894,0.234723,
8440,1.77267,0.355541,0.231282,
8460,1.75631,0.360611,0.229987,
8480,1.75008,0.362258,0.225429,
8500,1.74389,0.330176,0.20813,
8520,1.73199,0.272114,0.178979,
8540,1.71923,0.216191,0.158509,
8560,1.7138,0.175282,0.157262,
8580,1.71211,0.152424,0.165088,
8600,1.71374,0.139679,0.167453,
8620,1.72387,0.132829,0.159481,
8640,1.75544,0.134563,0.145677,
8660,1.78432,0.14011,0.140171,
8680,1.79468,0.155936,0.143798,
8700,1.80061,0.184598,0.153565,
8720,1.80367,0.212636,0.16411,
8740,1.80057,0.23324,0.176404,
8760,1.79415,0.25298,0.18881,
8780,1.78221,0.279889,0.20145,
8800,1.76887,0.313388,0.216133,
8820,1.75642,0.349389,0.231649,
8840,1.74554,0.384513,0.247112,
8860,1.72939,0.415931,0.266672,
8880,1.69744,0.438987,0.282915,
8900,1.65974,0.459161,0.291248,
8920,1.62442,0.48184,0.299015,
8940,1.59435,0.50238,0.300203,
8960,1.56492,0.526075,0.299633,
8980,1.53279,0.551614,0.289762,
9000,1.50026,0.579618,0.272628,
9020,1.47102,0.604043,0.250467,
9040,1.43948,0.619116,0.223936,
9060,1.4064,0.624303,0.193912,
9080,1.37634,0.625004,0.160533,
9100,1.35619,0.619285,0.119191,
9120,1.35156,0.600956,0.0698486,
9140,1.36499,0.566464,0.0100828,
9160,1.39433,0.505036,-0.0479889,
9180,1.42472,0.439931,-0.0855939,
9200,1.44164,0.398979,-0.102514,
9220,1.44427,0.381682,-0.0975358,
9240,1.43116,0.384123,-0.078971,
9260,1.41551,0.38962,-0.054547,
9280,1.39615,0.395851,-0.0344223,
9300,1.38079,0.401171,-0.0230148,
9320,1.36673,0.400936,-0.0212613,
9340,1.35748,0.396975,-0.0227085,
9360,1.34484,0.392901,-0.0255036,
9380,1.33426,0.39288,-0.025947,
9400,1.32253,0.395843,-0.0223771,
9420,1.30375,0.39316,-0.0165729,
9440,1.28663,0.387589,-0.0104814,
9460,1.26904,0.384774,-0.00710832,
9480,1.25418,0.382445,-0.00581409,
9500,1.2411,0.383654,-0.00775205,
9520,1.22987,0.386936,-0.016143,
9540,1.2274,0.383879,-0.033848,
9560,1.24113,0.374436,-0.0638183,
9580,1.28178,0.350207,-0.106135,
9600,1.33637,0.315728,-0.151778,
9620,1.38571,0.285354,-0.180243,
9640,1.42001,0.269945,-0.183011,
9660,1.43913,0.266344,-0.168472,
9680,1.45586,0.262189,-0.146085,
9700,1.47993,0.257923,-0.120249,
9720,1.5212,0.253484,-0.0920893,
9740,1.57273,0.246815,-0.0622335,
9760,1.62149,0.241375,-0.0252645,
9780,1.66621,0.240183,0.0192554,
9800,1.70401,0.244492,0.0701643,
9820,1.72464,0.247056,0.127271,
9840,1.72776,0.241877,0.195253,
9860,1.71588,0.232687,0.272273,
9880,1.70291,0.216509,0.34788,
9900,1.68545,0.190573,0.418252,
9920,1.6738,0.158688,0.48837,
