Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8
1915,-5,2,-16,3,-6,-7,-2,-6,
1920,-9,-25,-1,-11,-6,-4,-6,4,
1925,0,-2,6,31,9,0,4,-1,
1930,-6,2,-6,-37,-23,-4,0,3,
1935,17,11,1,-17,2,2,6,4,
1940,-5,1,-5,4,1,0,-2,-10,
1945,-3,2,-4,-4,-1,1,12,3,
1950,3,-9,3,7,2,-7,-8,-8,
1955,-4,-7,-2,7,-12,1,3,-2,
1960,0,2,6,-6,18,1,-2,1,
1965,3,1,-9,4,2,4,8,-1,
1970,-10,7,-8,15,6,0,2,1,
1975,7,-10,2,-13,-2,0,-3,0,
1980,-9,-7,-7,31,29,5,1,-6,
1985,1,4,7,-45,-33,-9,-8,3,
1990,14,9,-9,5,4,4,0,-2,
1995,-6,4,4,6,8,2,7,3,
2000,-2,-7,6,-31,-13,-5,-3,3,
2005,-15,-22,-22,37,21,4,-15,-7,
2010,12,13,-12,-12,-23,-6,2,-1,
2015,-12,-10,-10,7,6,-1,-2,-6,
2020,-2,3,13,36,24,12,4,-1,
2025,8,10,0,-59,-16,-5,-11,3,
2030,-7,-6,-13,-19,-17,-12,-4,-14,
2035,8,-1,-9,20,-12,-6,-7,10,
2040,-6,-9,-13,-21,-29,-8,1,-7,
2045,12,9,17,13,17,7,1,0,
2050,1,9,28,32,49,21,12,4,
2055,-20,-3,-22,-29,4,-2,-3,-1,
2060,16,1,-30,48,-21,-3,-13,2,
2065,1,14,3,-11,35,4,11,5,
2070,-17,-23,3,27,-17,4,14,-12,
2075,12,14,7,-40,-7,-24,-42,11,
2080,-5,0,-22,-73,-71,-30,2,-3,
2085,-8,-12,-5,52,5,21,34,-11,
2090,2,6,21,48,59,-1,-17,22,
2095,6,-10,2,-69,-56,5,10,-13,
2100,14,19,-1,86,37,15,-13,13,
2105,-6,-4,21,-65,-3,-5,-6,-13,
2110,-10,-7,-33,72,-17,-54,-18,-6,
2115,-10,-1,76,110,109,74,44,-6,
2120,-6,6,1,-123,-56,-6,-40,0,
2125,12,-37,-75,-37,-109,-37,-35,-4,
2130,3,10,36,-6,-34,-58,-18,1,
2135,-6,-5,29,90,58,-35,23,-3,
2140,-6,-3,42,49,101,68,60,-8,
2145,1,24,-22,-35,-14,36,-93,-6,
2150,3,-36,-61,-30,-86,-40,-11,20,
2155,11,16,1,20,-11,-76,4,-48,
2160,-16,-27,36,90,70,10,94,50,
2165,-7,32,-56,-36,77,45,33,-51,
2170,20,1,17,-2,-72,45,10,15,
2175,11,36,-55,-33,-28,-8,-60,18,
2180,-19,0,45,51,62,-23,-32,-51,
2185,-9,-3,6,3,-87,-11,22,43,
2190,14,8,55,-69,45,-16,16,-7,
2195,-12,-19,-48,-6,-28,19,-31,-12,
2200,21,24,-51,1,-28,-22,-13,13,
2205,-18,-10,108,127,127,20,45,10,
2210,-14,-3,10,-68,-38,49,-2,-16,
2215,-30,-52,-22,-64,-87,-12,-34,-19,
2220,38,-1,-35,-62,-69,-42,-44,4,
2225,9,-7,-17,47,37,-23,6,18,
2230,-18,17,70,94,102,-14,6,-26,
2235,-11,-15,61,-37,13,45,32,23,
2240,-2,13,-65,19,-11,8,8,4,
2245,14,-1,-8,-93,-114,-61,-54,-20,
2250,-10,-25,-77,-9,-49,-17,-42,-21,
2255,3,31,64,84,54,-21,55,-30,
2260,9,7,7,92,95,101,37,60,
2265,4,0,33,-47,-27,24,-68,37,
2270,6,4,-9,-79,-69,-52,19,15,
